ID,c2,scada,kms,df,im,icm,ls,searchstring,results,Performed 6-10-2021
75,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,"((""C2"" OR ""C4"" OR ""C3"") ""Command and Control"") ""Supervisory control and data acquisition"" ""Knowledge Management"" (""Data Fusion"" OR ""Sensor Fusion"" OR ""Information Fusion"") -""Information Management"" ""Intellectual Capital Management"" ""Library Science""",0,
76,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"((""C2"" OR ""C4"" OR ""C3"") ""Command and Control"") ""Supervisory control and data acquisition"" ""Knowledge Management"" (""Data Fusion"" OR ""Sensor Fusion"" OR ""Information Fusion"") ""Information Management"" -""Intellectual Capital Management"" ""Library Science""",0,
77,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"((""C2"" OR ""C4"" OR ""C3"") ""Command and Control"") ""Supervisory control and data acquisition"" ""Knowledge Management"" (""Data Fusion"" OR ""Sensor Fusion"" OR ""Information Fusion"") ""Information Management"" ""Intellectual Capital Management"" -""Library Science""",0,
78,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"-""c2"" -""c3"" -""c4"" -""Command and Control"" -""Supervisory control and data acquisition"" ""Knowledge Management"" (""Data Fusion"" OR ""Sensor Fusion"" OR ""Information Fusion"") ""Information Management"" ""Intellectual Capital Management"" ""Library Science""",0,
79,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"-""c2"" -""c3"" -""c4"" -""Command and Control"" ""Supervisory control and data acquisition"" -""Knowledge Management"" (""Data Fusion"" OR ""Sensor Fusion"" OR ""Information Fusion"") ""Information Management"" ""Intellectual Capital Management"" ""Library Science""",0,
80,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"-""c2"" -""c3"" -""c4"" -""Command and Control"" ""Supervisory control and data acquisition"" ""Knowledge Management"" -""Data Fusion"" -""Sensor Fusion"", -""Information Fusion"" ""Information Management"" ""Intellectual Capital Management"" ""Library Science""",0,
81,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,"-""c2"" -""c3"" -""c4"" -""Command and Control"" ""Supervisory control and data acquisition"" ""Knowledge Management"" (""Data Fusion"" OR ""Sensor Fusion"" OR ""Information Fusion"") -""Information Management"" ""Intellectual Capital Management"" ""Library Science""",0,
82,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"-""c2"" -""c3"" -""c4"" -""Command and Control"" ""Supervisory control and data acquisition"" ""Knowledge Management"" (""Data Fusion"" OR ""Sensor Fusion"" OR ""Information Fusion"") ""Information Management"" ""Intellectual Capital Management"" -""Library Science""",0,
83,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"((""C2"" OR ""C4"" OR ""C3"") ""Command and Control"") -""Supervisory control and data acquisition"" -""Knowledge Management"" (""Data Fusion"" OR ""Sensor Fusion"" OR ""Information Fusion"") ""Information Management"" ""Intellectual Capital Management"" ""Library Science""",0,
84,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,"((""C2"" OR ""C4"" OR ""C3"") ""Command and Control"") -""Supervisory control and data acquisition"" ""Knowledge Management"" (""Data Fusion"" OR ""Sensor Fusion"" OR ""Information Fusion"") -""Information Management"" ""Intellectual Capital Management"" ""Library Science""",0,
85,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,"((""C2"" OR ""C4"" OR ""C3"") ""Command and Control"") -""Supervisory control and data acquisition"" ""Knowledge Management"" (""Data Fusion"" OR ""Sensor Fusion"" OR ""Information Fusion"") ""Information Management"" ""Intellectual Capital Management"" -""Library Science""",0,
